model,condition,family,type,n,selection_score,parse_rate,any_defect_accuracy,type_f1,macro_type_f1,severity_weighted_f1,type_precision,type_recall,type_exact_match_rate,false_alarm_rate,missed_defect_rate,missed_major_or_critical_rate,span_support_rate,brier_any_defect,ece_any_defect,mean_elapsed_sec,reason
gemma3:4b,rubric_guided,,,120,43.093566689332626,0.9833333333333333,0.85,0.2863070539419087,0.18294880184250226,0.3006535947712418,0.5948275862068966,0.1885245901639344,0.041666666666666664,0.13333333333333333,0.016666666666666666,0.008333333333333333,0.8103448275862069,0.1161250000000006,0.05416666666666735,3.5425,good any-defect accuracy; low missed-defect rate; well-grounded spans; well-calibrated confidence
qwen2.5-coder:32b,rubric_guided,Qwen2.5-Coder,code-specialized,120,41.798129036204756,1.0,0.7416666666666667,0.3044315992292871,0.20799507022302166,0.3504531722054381,0.5163398692810458,0.21584699453551912,0.14166666666666666,0.025,0.23333333333333334,0.05,0.987012987012987,0.16837500000000002,0.3533333333333335,22.592833333333335,good any-defect accuracy; low false-alarm rate; well-grounded spans; slow runtime; largest installed local code-specialized baseline
qwen2.5vl:3b,zero_shot,,,120,41.39874811924769,0.9666666666666667,0.8333333333333334,0.34033613445378147,0.09183673469387756,0.3627450980392157,0.7363636363636363,0.22131147540983606,0.058333333333333334,0.11666666666666667,0.05,0.016666666666666666,0.4,0.12038750000000055,0.11208333333333498,1.8116749999999997,poor minority-defect coverage; good any-defect accuracy; low missed-defect rate; well-calibrated confidence; fast runtime
qwen3:4b,zero_shot,,,120,40.316145074324076,1.0,0.7166666666666667,0.29515418502202645,0.14558548919204659,0.33613445378151263,0.7613636363636364,0.1830601092896175,0.15,0.05,0.23333333333333334,0.03333333333333333,0.9875,0.1323183333333338,0.3003333333333331,49.829591666666666,good any-defect accuracy; low false-alarm rate; well-grounded spans; well-calibrated confidence; slow runtime
qwen2.5-coder:1.5b,rubric_guided,,,120,38.74401506896315,1.0,0.85,0.22823984526112184,0.1465607756692514,0.2402496099843994,0.39072847682119205,0.16120218579234974,0.016666666666666666,0.15,0.0,0.0,0.47222222222222227,0.13558666666666638,0.08433333333333298,0.9980666666666665,good any-defect accuracy; low missed-defect rate; well-calibrated confidence; fast runtime
llama3.2:3b,zero_shot,,,120,38.56902381540151,1.0,0.7916666666666666,0.30607966457023067,0.11464646464646466,0.33333333333333337,0.6576576576576577,0.1994535519125683,0.03333333333333333,0.14166666666666666,0.06666666666666667,0.0,0.049019607843137254,0.15445250000000027,0.03591666666666848,0.8484000000000006,good any-defect accuracy; low missed-defect rate; fast runtime
qwen2.5-coder:14b,rubric_guided,,,120,18.408824271896876,1.0,0.30833333333333335,0.1256281407035176,0.09636811730210502,0.15414258188824662,0.78125,0.06830601092896176,0.16666666666666666,0.016666666666666666,0.675,0.25833333333333336,0.9565217391304348,0.15221666666666675,0.6975000000000001,4.810058333333332,poor minority-defect coverage; low false-alarm rate; misses many defects; well-grounded spans
qwen2.5-coder:7b,zero_shot,,,120,13.74576084117433,1.0,0.275,0.07291666666666667,0.03926905992633692,0.09200000000000001,0.7777777777777778,0.03825136612021858,0.14166666666666666,0.008333333333333333,0.7166666666666667,0.2833333333333333,0.9411764705882353,0.1545208333333333,0.7429166666666667,2.1404416666666664,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; well-grounded spans; fast runtime
qwen2.5:3b,rubric_guided,,,120,9.482961440377807,0.9916666666666667,0.2,0.037037037037037035,0.015873015873015876,0.028925619834710745,0.5833333333333334,0.01912568306010929,0.125,0.025,0.775,0.35,0.9166666666666666,0.144945,0.5451666666666667,1.125091666666667,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; well-grounded spans; well-calibrated confidence; fast runtime
deepseek-coder:6.7b,zero_shot,DeepSeek-Coder,code-specialized,120,6.43337671847625,1.0,0.15833333333333333,0.005449591280653952,0.003129890453834116,0.004228329809725158,1.0,0.00273224043715847,0.15,0.0,0.8416666666666667,0.35833333333333334,1.0,0.15002083333333335,0.84125,1.6617166666666667,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; well-grounded spans; fast runtime; non-Qwen code-specialized baseline
granite3.2-vision:latest,zero_shot,,,120,3.533718629377674,0.9916666666666667,0.15833333333333333,0.02645502645502645,0.011337868480725623,0.028806584362139922,0.4166666666666667,0.01366120218579235,0.125,0.008333333333333333,0.8333333333333334,0.35,0.0,0.1267183333333331,0.7863333333333349,0.9222583333333332,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; well-calibrated confidence; fast runtime
qwen2.5-coder:3b,rubric_guided,,,120,1.9432499999999981,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.85,0.35833333333333334,0.0,0.15002083333333335,0.8495833333333334,0.8676083333333331,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; fast runtime
