model,condition,defect_type,gold_support,predicted_count,tp,fp,fn,precision,recall,f1
gemma3:4b,rubric_guided,ambiguous_term,32.0,201.0,7.0,194.0,25.0,0.03482587064676617,0.21875,0.060085836909871244
gemma3:4b,rubric_guided,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
gemma3:4b,rubric_guided,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
gemma3:4b,rubric_guided,missing_expected_outcome,47.0,74.0,13.0,61.0,34.0,0.17567567567567569,0.2765957446808511,0.21487603305785122
gemma3:4b,rubric_guided,missing_constraint,34.0,123.0,11.0,112.0,23.0,0.08943089430894309,0.3235294117647059,0.14012738853503184
gemma3:4b,rubric_guided,not_testable,33.0,121.0,5.0,116.0,28.0,0.04132231404958678,0.15151515151515152,0.06493506493506494
gemma3:4b,rubric_guided,overly_broad_requirement,40.0,77.0,17.0,60.0,23.0,0.22077922077922077,0.425,0.29059829059829057
gemma3:4b,rubric_guided,inconsistent_condition,15.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0
gemma3:4b,rubric_guided,unsupported_external_assumption,15.0,2.0,2.0,0.0,13.0,1.0,0.13333333333333333,0.23529411764705882
gemma3:4b,zero_shot,ambiguous_term,32.0,229.0,9.0,220.0,23.0,0.039301310043668124,0.28125,0.06896551724137931
gemma3:4b,zero_shot,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
gemma3:4b,zero_shot,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
gemma3:4b,zero_shot,missing_expected_outcome,47.0,87.0,11.0,76.0,36.0,0.12643678160919541,0.23404255319148937,0.16417910447761197
gemma3:4b,zero_shot,missing_constraint,34.0,74.0,12.0,62.0,22.0,0.16216216216216217,0.35294117647058826,0.22222222222222227
gemma3:4b,zero_shot,not_testable,33.0,100.0,6.0,94.0,27.0,0.06,0.18181818181818182,0.09022556390977443
gemma3:4b,zero_shot,overly_broad_requirement,40.0,92.0,18.0,74.0,22.0,0.1956521739130435,0.45,0.2727272727272727
gemma3:4b,zero_shot,inconsistent_condition,15.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0
gemma3:4b,zero_shot,unsupported_external_assumption,15.0,5.0,5.0,0.0,10.0,1.0,0.3333333333333333,0.5
granite3.2-vision:latest,rubric_guided,ambiguous_term,32.0,43.0,3.0,40.0,29.0,0.06976744186046512,0.09375,0.07999999999999999
granite3.2-vision:latest,rubric_guided,missing_actor,106.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
granite3.2-vision:latest,rubric_guided,missing_trigger,165.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0
granite3.2-vision:latest,rubric_guided,missing_expected_outcome,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
granite3.2-vision:latest,rubric_guided,missing_constraint,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
granite3.2-vision:latest,rubric_guided,not_testable,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
granite3.2-vision:latest,rubric_guided,overly_broad_requirement,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
